run_id,lr,use_head_ln,use_modal_gate,use_attn_pooling,attn_pooling_dropout,hyper_num_text,hyper_num_audio,hyper_num_video,mae,corr,acc7,status
1,0.003,0,1,0,0.1,20,30,10,1.0358,0.6299,0.3236,ok
2,0.003,0,1,1,0.1,20,30,10,1.0449,0.6109,0.3047,ok
3,0.003,0,1,0,0.1,30,50,20,1.1012,0.5918,0.2945,ok
4,0.003,0,1,1,0.1,30,50,20,1.059,0.6033,0.2959,ok
5,0.001,0,1,0,0.1,20,30,10,1.032,0.6091,0.2886,ok
6,0.001,0,1,1,0.1,20,30,10,1.1525,0.5874,0.2624,ok
7,0.001,0,1,0,0.1,30,50,20,1.0105,0.6085,0.3309,ok
8,0.001,0,1,1,0.1,30,50,20,1.0148,0.6102,0.3076,ok
9,0.0003,0,1,0,0.1,20,30,10,1.0931,0.5788,0.2799,ok
10,0.0003,0,1,1,0.1,20,30,10,1.1344,0.5263,0.2638,ok
11,0.0003,0,1,0,0.1,30,50,20,1.0457,0.5675,0.3178,ok
12,0.0003,0,1,1,0.1,30,50,20,1.1345,0.5052,0.2901,ok
