run_id,lr,use_head_ln,use_modal_gate,use_attn_pooling,attn_pooling_dropout,hyper_num_text,hyper_num_audio,hyper_num_video,mae,corr,acc7,status
1,0.003,0,1,0,0.1,20,30,10,1.0752,0.6049,0.2799,ok
2,0.003,0,1,1,0.1,20,30,10,0.991,0.6541,0.3076,ok
3,0.003,0,1,0,0.1,50,20,10,0.9539,0.6611,0.3294,ok
4,0.003,0,1,1,0.1,50,20,10,1.0135,0.6316,0.3163,ok
5,0.001,0,1,0,0.1,20,30,10,0.9628,0.656,0.3207,ok
6,0.001,0,1,1,0.1,20,30,10,0.9193,0.6824,0.3265,ok
7,0.001,0,1,0,0.1,50,20,10,1.0761,0.6104,0.2784,ok
8,0.001,0,1,1,0.1,50,20,10,,,,fail(1)
9,0.0003,0,1,0,0.1,20,30,10,1.2156,0.3957,0.2289,ok
10,0.0003,0,1,1,0.1,20,30,10,0.9933,0.627,0.2872,ok
11,0.0003,0,1,0,0.1,50,20,10,1.0288,0.589,0.3105,ok
12,0.0003,0,1,1,0.1,50,20,10,,,,fail(1)
