run_id,lr,use_head_ln,use_modal_gate,use_attn_pooling,attn_pooling_dropout,hyper_num_text,hyper_num_audio,hyper_num_video,mae,corr,acc7,status
1,0.003,0,1,0,0.1,20,30,10,0.9819,0.6477,0.3251,ok
2,0.003,0,1,1,0.1,20,30,10,1.0227,0.5996,0.3294,ok
3,0.003,0,1,0,0.1,30,50,20,0.9587,0.6439,0.3353,ok
4,0.003,0,1,1,0.1,30,50,20,1.0306,0.5967,0.3032,ok
5,0.001,0,1,0,0.1,20,30,10,1.0502,0.5831,0.2988,ok
6,0.001,0,1,1,0.1,20,30,10,1.02,0.616,0.293,ok
7,0.001,0,1,0,0.1,30,50,20,1.0942,0.5747,0.2886,ok
8,0.001,0,1,1,0.1,30,50,20,1.076,0.5555,0.3105,ok
9,0.0003,0,1,0,0.1,20,30,10,1.2041,0.5158,0.2157,ok
10,0.0003,0,1,1,0.1,20,30,10,1.1149,0.5834,0.2507,ok
11,0.0003,0,1,0,0.1,30,50,20,0.989,0.6127,0.3411,ok
12,0.0003,0,1,1,0.1,30,50,20,1.017,0.6043,0.2974,ok
